MonumentID,Monument_Reference,MonumentType,Mention_Legio_VII,Inscription,Translation,Source_of_Translation,"Tončinić_2011_Style_Type",Lower_Field_Decoration,Portrait,Frieze,Creation_Date,DateNote,Current_Location,Roman_Province,Ancient_Site,Specific_Provenience,Modern_Find_Site,Modern_Provenience,General_Location_Note,Unique_Monument_Provenience_Note,LAT,LONG,Pleiades,Trismegistos,MonumentNote,DBInclusionReason,Media
102,"AE 1981, 0669","sacral altar",yes,"Hercu(li) / sacrum / [P(ublius)] Plotius ∙>∙(centurio) leg(ionis) / VII C(laudiae) P(iae) F(idelis) / v(otum) s(olvit) l(ibens) m(erito)","Dedicated to Hercules, Publius Plotius, centurion of the 7th legion Claudia pia fidelis. The vow was fulfilled willingly and deservedly.","Coopey, edit of Tončinić 2011",,,,,"42 to 59",,"Muzej grada Trogira/Trogir City Museum, Inv. No. 683",Dalmatia,Tragurium,,"Seget Donji",,,,43.5167,16.2333,https://pleiades.stoa.org/places/197555,https://www.trismegistos.org/place/29369,"the praenomen is reconstructed based on the existence of a stelae (ILJug 2601, MonumentID 60) from Salona which records a centurion of legio VII named Publius Plotius (it is assumed they are the same person)",,http://lupa.at/21498/photos/1
103,"CIL 03, 14951","sacral monument",maybe,"] / Nymp[his] / sacr[um] / [-] Iulius [---]/us >(centurio) l[eg(ionis)] / [VII] C(laudiae) P(iae) [F(idelis)] / [cu]m Pri[","Dedicated to the Nymphs. [-] Julius [-]US, a centurion of the [7th/11th] legion Claudia pia fidelis [-]M PRI[","Coopey, edit of Tončinić 2011",,,,,"42 to 59",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2732",Dalmatia,Andetrium,,"Gornji Postinje",,,,43.701,16.424,https://pleiades.stoa.org/places/197115,https://www.trismegistos.org/place/29420,"the title is a reconstruction - its inclusion is tentative but therefore valid. It could refer to Legio XI as wellas VII, for only the CP[F] is recorded",,
104,"CIL 03, 09973","boundary inscription",yes,"E]x edict<o=u>  P(ubli) Cor/neli Dolabel(la)e leg(ati) / pro praetore determinav[it] / S(extus) Titius Geminus / pri(nceps) posterior leg(ionis) / VII inter Neditas / et Corinienses / restituit iussu A(uli) / Duceni Gemini / leg(ati) Augusti pr(o) p[r(aetore)] / per A(ulum) Resium [M]a/ximum >(centurionem) leg(ionis) XI / C(laudiae) P(iae) F(idelis) pr(incipem) posterior(em) / et Q(uintum) Aebutium / Liberalem (h)astat(um) / posteriore(m) leg(ionis) / eiusdem","Pursuant to the edict of Publius Cornelius Dolabella, the propraetorial legate, Sextus Geminus, princeps posterior of the 7th legion, set up the boundary between the Neditae and Coriniensi. [This boundary stone] was restored at the order of Aulus Ducenius Geminus, the propraetorial legate of Augustus, as per Aulus Resius Maximus, the princeps posterior of the 11th legion Claudia pia fidelis, and Quintus Aebutius Liberalis, deputy spearman of this same legion","Coopey, edit of Tončinić 2011",,,,,"63 to 67","It refers to the renewal of a demarcation made by Legio VII member between 14-20 CE however","Arheološki muzej u Zadru/Archaeological Museum in Zadar, Inv. No. A 18229",Dalmatia,,,"Popovići",,"near Karin",,44.075137,15.663098,,https://www.trismegistos.org/place/36189,,"dates to 63-67 CE, but it refers to (and renews) a demarcation which was undertaken by a Legio VII member working under Dolabella. Thus the individual mentioned was active in 14-20 CE",http://lupa.at/21502/photos/1
105,"CIL 03, 02882","boundary inscription",yes,"L[---] / [---]nus Laco / [cent(urio?)] leg(ionis) VII iudex / [--- datu]s ex convent/[ione eo]r(um) ab L(ucio) Volu[sio] / Saturnino le[g(ato)] / [p]ro pr(aetore) C(ai) Caesari[s] / [A]ugusti Germ[a]/[ni]ci inter Ned[i]/[tas et","L[-]NUS Laco, a centurion(?) of the 7th legion, was appointed, according to the agreement of both parties, by Lucius Volusius Saturninus the propraetorial legate of Gaius Caesar Augustus Germanicus, as judge between the Neditae and the [","Coopey, edit of Tončinić 2011",,,,,"37 to 41","Dated based off of the fact that the inscription mentions Caligula.","lost, Wilkes 1969 claimed he saw the inscription in Fransiscan monestary in Karin, but it was not there in 2011 according to Tončinić.",Dalmatia,,,,,,,,,https://pleiades.stoa.org/places/981522,https://www.trismegistos.org/place/11624,,,
106,"CIL 03, 08472","boundary inscription",yes,"L(ucius) Trebius / Secundus pr/aef(e)ctus castr/orum inter / Onastinos et / Narestinos ter/minos pos(u)it ius/su L(uci) Volusi Satu/rni(ni) leg(ati) pro pr/aetore C(ai) Ca[es]/[ari]s Au[g]usti G/[e]rmanici ex / sentent(ent)i/a quam i(i)s ath/irito consi (!)/lio dixit","Lucius Trebius Secundus, camp prefect, placed the boundary stones between the Onastines and Narestines at the order of Lucius Volusius Saturninus, propraetorial legate of Gaius Caesar Augustus Germanicus, according to the decision (that was) declared for them after a council was summoned","Coopey, edit of Tončinić 2011",,,,,"37 to 41","Dated based off of the fact that the inscription mentions Caligula.","Arheološki muzej u Splitu/Archaeological Museum in Split, Cat. No. A 1534",Dalmatia,,,Krug,,"near Jesenice, Poljice",,43.456728,16.634664,,https://www.trismegistos.org/place/36097,,"does not mention Legio VII explicitly, but Tilurium is the closest military base from where the stela was found, and it dates to their stay at the camp",http://lupa.at/21503/photos/1
107,"CIL 03, 09832","boundary inscription",yes,"Vib]ullius t[rib(unus?)] / [le]g(ionis) VII et L(ucius) Sa[l]/[vius] M(arcus) Sueto ce[n]/[t]uriones leg(ionis) X[I] / [iu]dices d[a]ti ex / [co]<n=M>ventione a / [L(ucio) V]olusio Satur/[ni]no leg(ato) pro pr(aetore) / [C(ai) C]aesaris Aug(usti) / [Ger]manici inter / [---]tine[s] e[t ---]","]Vibillius T[-] of the 7th legion and Lucius Sal[vius] and Marcus Sueto, centurions of the 11th legion, were appointed, by the agreement of Lucius Volusius Saturninus propraetorial legate of Gaius Caesar Augustus Germanicus, as judges between [-]INE E[","Coopey, edit of Tončinić 2011",,,,,"37 to 41","Dated based off of the fact that the inscription mentions Caligula.",lost,Dalmatia,,,"Razvođe",,"near Burnum/Kistanje",,43.92898,16.107708,,,"figure/illustration is provided by Patsch 1985, fig. 76; Wilkes 1974, fig. 4",,http://db.edcs.eu/epigr/ae/ae1890/ae1890-02.pdf
108,"CIL 03, 12794","boundary inscription",yes,"[--- i]nter Ner[a]/[sti]nos et Pitunti/nos termini r[ec]/[o]gniti et restitu[ti] a / [P]isone leg(ato) pro pr(a)etore / [Ti(beri)] Claudi Caesaris [Aug(usti)] / Germanici per C(aium) Ma[r]/ium Maternum ∙>∙(centurionem) leg(ionis) / VII C(laudiae) P(iae) F(idelis) quos L(ucius) Volus/[ius Saturninus legat(us) pro][pr(aetore) statuendos curaverat]","The boundary between the Nerastines and Pituntines was reviewed and restored by Piso, the propraetorial legate of Tiberius Claudius Caesar Augustus Germanicus, through Gaius Marius Maternus, centurion of the 7th legion Claudia pia fidelis, whose appointment was ordered by Lucius Volusius Saturninus, the propraetorial legate.","Coopey, edit of Tončinić 2011",,,,,"42 to 50","Dated to Piso's consulship of Dalmatia","In secondary use- Graveyard attached to Church of St. Luke",Dalmatia,,,Gorica,,"near Dubrava, Poljice",,43.495214,16.647371,,,,,http://lupa.at/21504/photos/1
109,"AE 2003, 1332","boundary inscription",yes,"Ex [dec(reto) P(ubli) Corn(eli)] / Dol(abellae) leg(ati) pr(o) [pr(aetore)] / det(erminavit) C(aius) Titius / Geminus >(centurio) / leg(ionis) VII inte[r] / Asser(iates) et C[or(nienses)]","According to judgement of Publius Cornelius Dolabella the propraetorial legate, Gaius Titius Geminus [-] of the 7th legion, demarcated (this) between the Asserites and Cornienses.","Coopey, edit of Tončinić 2011",,,,,"63 to 67","It refers to the renewal of a demarcation made by Legio VII member between 14-20 CE however",lost,Dalmatia,Corinium,,"Donji Karin",,,,44.104527,15.633504,https://pleiades.stoa.org/places/197225,https://www.trismegistos.org/place/29319,"the individual refered to in this stelae could be the same as the one referenced in CIL 3, 9973. Čače believed this arguing that the name sextus in CIL 3, 9973 was incorrect, and should be Gaius ('G' not 'S'). However, it could also be a brother, hence the hesitation to confirm Gaius' position as a centurio.",,
110,"Tončinić 100",tegula,yes,"Leg(ionis) VII [C(laudiae) P(iae) F(idelis)]","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 19",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,"whilst only 'LEG(io)VIIC(laudia)[--- is visible, it can relatively safely be reconstructed to C(laudia)P(iae)F(idelis) as well. Tončinić 2011, 122",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00100.jpg
111,"Tončinić 101",tegula,yes,"[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 20",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00101.jpg
112,"Tončinić 102",tegula,yes,"[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 22",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00102.jpg
113,"Tončinić 103",tegula,yes,"[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 23",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00103.jpg
114,"Tončinić 104",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 24",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00104.jpg
115,"Tončinić 105",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 26",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00105.jpg
116,"Tončinić 106",tegula,yes,"[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 27",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00106.jpg
117,"Tončinić 107",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 28",Dalmatia,Aequum,,Krinj-Hrvace,,,,43.745556,16.644167,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00107.jpg
118,"Tončinić 108",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 29",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00108.jpg
119,"Tončinić 109",tegula,yes,"Leg(ionis) VII C(laudiae) [P(iae) F(idelis)]","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 34",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00109.jpg
120,"Tončinić 110",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RK 48",Dalmatia,Aequum,,"Sinjsko polje",,"could also be from another site around the Sinjsko polje",,43.675387,16.695576,,,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00110.jpg
121,"Tončinić 111",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Muzej Cetinske krajina/Museum of Cetina region, Inv. No. MCK-B-920",Dalmatia,Aequum,,"Čitluk",,,,43.739278,16.655704,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00111.jpg
122,"Tončinić 112",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Muzej Cetinske krajina/Museum of Cetina region, Inv. No. MCK-AZ-301",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00112.jpg
123,"Tončinić 113",tegula,yes,"Leg(ionis) VII C(laudiae) P(iae) F(idelis)","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Muzej Cetinske krajina/Museum of Cetina region, Inv. No. MCK-AZ-388",Dalmatia,Aequum,,"Čitluk",,,,43.739278,16.655704,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00113.jpg
124,"Tončinić 114",tegula,yes,"[L]eg(ionis) VII [C(laudiae) P(iae) F(idelis)]","The 7th legion Claudia pia fidelis",Coopey,,,,,"40 to 59","may date to soon before the acquisition of the CPF title, but not long before, as the stamping of tiles only really became a common feature of military life in the mid-1st century. Tončinić 2011: 132-133","Muzej Triljskog kraja/Trilj Regional Museum, Inv. No. MTK 932",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00114.jpg
125,"Tončinić 115",tegula,yes,"[Leg(ionis)] VII C(laudiae) [P(iae) F(idelis)]","The 7th legion Claudia pia fidelis",Coopey,,,,,"42 to 59",,"Muzej Triljskog kraja/Trilj Regional Museum, Inv. No. MTK 1705",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00115.jpg
126,"AE 1994, 1356",stela,no,"Severus Triocha/ri f(ilius) Ubius / eq(ues) ala(e) Tu/ngr(orum) ann(orum) / XXVI sti(pendiorum) V / h(ic) s(itus) e(st) Urban/us fratri pos(u)it","Here lies Severus Ubius, son of Triocharus, cavalryman in the ala of Tungrians, who lived for 26 years and served for 5. Urbanus erected this for his brother.",Coopey,A1a,"quad-panelled door, handles and knockers","no portrait",floral,"20 to 50","date provided by Cambi 1994","Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 5961",Dalmatia,,,Dugopolje,"part of c.4th Late Antique tomb",,,43.599333,16.589915,,https://www.trismegistos.org/place/29360,,"while this stela does not belong to a Legio VII legionary, it is included in this DB as an exemplum of other military funerary stelae which would have been situated near or beside those of Legio VII members. It is also an example of a stela produced at the Tilurium workshop in the same style to that typical of monuments belonging to Legio VII legionaries. It was also found with Monument IDs 26, 127, 128.",
127,"AE 1994, 1357",stela,no,"C(aius) Iulius Bar/cenei f(ilius) The/odorus m/iles coh(ortis) II / Cyrrhesta/rum annor(um) / LXV stipen(diorum) XLII / h(ic) s(itus) e(st) posuit / C(aius) Iulius Scapula / frat(er)","Here lies Gaius Julius Theodorus, son of Barceneus, soldier of the 2nd cohort of Cyrrhestians, who lived for 65 years and served for 42. His brother Gaius Julius Scapula erected this.",Coopey,A1b,"(reduced) dual-panelled door, bow, arrows and quiver","no portrait",floral,"40 to 80","date provided by Cambi 1994","Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 5962",Dalmatia,,,Dugopolje,"part of c.4th Late Antique tomb",,,43.599333,16.589915,,https://www.trismegistos.org/place/29360,,"while this stela does not belong to a Legio VII legionary, it is included in this DB as an exemplum of how the stelae produced at Tilurium changed in style over time. Cambi 1994: e.g. One can see a reduction in the four pannels motif, with this stelae depicting two pannels. It was also found with Monument IDs 26, 126, 128.",
128,"AE 1994, 1358",stela,no,"C(aius) Iulius An/dromachus / miles coh(ortis) II / Cyrr(h)estar(um) ann(orum) LXV stipend(iorum) / XXXX / C(aius) Iulius Apolla / sodalis vo(tum) posuit","Gaius Julius Andromachus, soldier of the 2nd cohort of Cyrrhestians, who lived for 65 years and served for 40. His comrade Gaius Julius Apolla fulfilled his vow.",Coopey,A1b,"(reduced) dual-panelled door, bow, arrows and quiver","no portrait",floral,"40 to 80","date provided by Cambi 1994","Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 5963",Dalmatia,,,Dugopolje,"part of c.4th Late Antique tomb",,,43.599333,16.589915,,https://www.trismegistos.org/place/29360,,"while this stela does not belong to a Legio VII legionary, it is included in this DB as an exemplum of how the stelae produced at Tilurium changed in style over time. Cambi 1994: e.g. One can see a reduction in the four pannels motif, with this stelae depicting two pannels. It was also found with Monument IDs 26, 126, 127.",http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$PF_AE_1994_01358.jpg;$PF_AE_1994_01358_1.jpg;$AE_1994_01358.jpg;pp&nr=1
129,"Other Ref MAMA 04, 0237",stela,yes,"Γάϊοσ Παίνιοσ Νουμίσιοσ ἱππεὺσ οὐετπρανὸσ ληγεωνοσ ἑβδόμησ ἑαυτω καὶ τοῖσ ἰδίοισ","Gaius Painius Numisius, veteran cavalryman of the 7th legion, set this up for himself and his descendants",Coopey,,,"no portrait",,"-30 to 7","could be 6-8 ending",lost,Galatia,Apollonia/Tymandus,,,,,,38.104416,30.607024,https://pleiades.stoa.org/places/609563,https://www.trismegistos.org/place/16444,,"included here because it is evidence of Legio VII's stay in Galatia prior to its arrival in Dalmatia in c.6-9 CE",
130,"Other Ref Medini 1984: fig. 2",stela,maybe,]<<+>>[,[-],,,"quad-panelled door, lions and 'Attis'",rider,,"7 to 100",,"Arheološka zbirka Franjevačkog samostana u Sinju/Archaeological collection of the Franciscan Monastery in Sinj, Inv. No. RS 154",Dalmatia,Tilurium,,Trilj,,,,43.618756,16.723601,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,"included as possible monument on account of find-site and overall composition",
